make;model;version;doors;gross_price;nett_price;hp
Lexus;IS220d;Sport;4;44285;28488,66;177
Lexus;IS220d;Executive;4;48195;31159,25;177
Lexus;IS250;Executive;4;51520;31949,46;208
Lexus;IS220d;Business Style;4;40250;25732,36;177
Lexus;IS250;Business Style Automaat;4;43275;26317,63;208
Lexus;IS250;Sport;4;47600;29271,87;208
Renault;Master;L2H1 T35 dCi 135 EU6 FWD;2;48739,98;30540;135
Renault;Master;L3H1 T35 dCi 135 EU6 FWD;2;50168,28;31440;135
Renault;Master;L3H1 T35 dCi 135 EU6 FWD DC;4;52072,68;32640;135
Renault;Master;L2H1 T35 ENERGY dCi 180 EU6 FWD;2;48263,88;30240;180
Renault;Master;L1H2 T33 ENERGY dCi 150 EU6 FWD;4;47946,48;30040;150
Renault;Master;L2H2 T33 ENERGY dCi 150 EU6 FWD;4;49374,78;30940;150
Mercedes-Benz;S-Klasse Coupe;Mercedes-AMG S 63;2;217400;143931;585
IVECO;Daily;35S12 2.3 3750;2;49271,62;30875;116
IVECO;Daily;35S14 2.3 3000;2;49938,16;31295;136
IVECO;Daily;35S16 2.3 3000;2;51842,56;32495;156
IVECO;Daily;35S12 2.3 3000;2;51256,76;32595;116
Volkswagen;Crafter;50(3.5t) 2.0TDI 100kW BMT L4H3;4;59768;37490;136
Volkswagen;Crafter;35 2.0TDI 80kW BMT L2H3;4;50295;31520;109
Volkswagen;Crafter;32 2.0TDI 80kW BMT L2H3;4;48009;30080;109
Volkswagen;Crafter;35 2.0TDI 80kW BMT L4H3;4;53199;33350;109
Volkswagen;Crafter;50 2.0TDI 84kW BMT L4H3 Euro VI;4;47056,9;38890;114
Volkswagen;Crafter;50(3.5t) 2.0TDI 120kW BMT L3H3;4;60705;38080;163
Volkswagen;Crafter;35 2.0TDI 120kW BMT L2H3;4;53659;33640;163
Volkswagen;Crafter;35 2.0TDI 120kW BMT L4H3 Euro VI;4;58467;36670;163
Volkswagen;Crafter;35 2.0TDI 80kW BMT L3H3;4;52468;32890;109
Volkswagen;Crafter;32 2.0TDI 120kW BMT L2H3;4;51374;32200;163
Volkswagen;Crafter;50 2.0TDI 120kW BMT L2H3;4;45955,8;37980;163
Volkswagen;Crafter;50(3.5t) 2.0TDI 120kW BMT L2H3;4;58531;36710;163
